Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,019165","-4,9915E-05","-0,069673",0,0,0,"1,612","0,00081644","4,489E-09","-8,1238E-06","0,0023138","-1,2828E-09","0,0029163",0,0,0,0,0,0,package://robotF/meshes/base_link.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://robotF/meshes/base_link.STL,,M5_vit-14;M2x6-65;M5_vit-16;M5_vit-18;M5_vit-12;M2x6-66;M5_vit-1;M2x6-41;M2x6-37;M2x6-39;M2x6-36;M2x6-34;M5_vit-10;M5_vit-7;M5_vit-5;M2x6-60;M2x6-48;M2x6-46;M5_vit-4;M2x6-56;M2x6-35;M2x6-62;M2x6-50;M2x6-44;M2x6-52;M5_vit-2;M2x6-32;M2x6-31;M2x6-29;M2x6-28;M2x6-14;M2x6-22;M2x6-13;M2x6-2;M2x6-1;M2x6-4;M2x6-26;M2x6-27;M2x6-25;M2x6-11;M2x6-18;M2x6-10;M2x6-15;M2x6-16;M2x6-12;M2x6-6;M2x6-8;M2x6-33;M2x6-17;M2x6-30;M2x6-19;M2x6-24;CT6-4;MatBen-1;CT4-1;CT7-1;CT3-1;MatBen-2;CT6-1;CT5-1;CT2-1;JGB37-520-2;JGB37-520-1;Assem1-20/M5x45-1;Assem1-1/M5x45-1;Assem1-2/M5x45-1;Assem1-4/M5x45-1;Assem1-6/M5x45-1;Assem1-10/M5x45-1;Assem1-8/M5x45-1;Assem1-16/M5x45-1;Assem1-12/M5x45-1;Assem1-14/M5x45-1;CT8-1;CT8-2,Coordinate System14,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_BCD,"-1,4807E-06","-3,1788E-05","-0,003944",0,0,0,"0,0194","3,9446E-06","-2,7291E-09","-5,1243E-09","3,9498E-06","-1,6836E-09","4,4119E-06",0,0,0,0,0,0,package://robotF/meshes/R_BCD.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://robotF/meshes/R_BCD.STL,,Assem2-1,Coordinate System2,Axis2,R_BCD_joint,continuous,"-0,10835","-0,103","-0,05996","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
L_BCD,"2,5424E-05","1,1495E-06","0,003944",0,0,0,"0,0194","3,9491E-06","-3,2707E-09","-2,2853E-09","3,9453E-06","-4,8858E-09","4,4119E-06",0,0,0,0,0,0,package://robotF/meshes/L_BCD.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://robotF/meshes/L_BCD.STL,,Assem2-2,Coordinate System3,Axis2,L_BCD_joint,continuous,"-0,10836","0,103","-0,059982","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
R_BBD1,"7,2828E-07","2,3201E-07","3,5107E-07",0,0,0,"0,018151","1,4698E-06","-2,3366E-11","-3,6994E-11","1,4699E-06","-1,1775E-11","2,7399E-06",0,0,0,0,0,0,package://robotF/meshes/R_BBD1.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://robotF/meshes/R_BBD1.STL,,Assem1-14/BBD_2-1;Assem1-14/6mm Bearing SKF 626 RS 286-7833-1,Coordinate System4,Axis3,R_BBD1_joint,continuous,"-0,074331","-0,103","-0,025","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
R_BBD2,"-7,5483E-07","1,2019E-07","3,5107E-07",0,0,0,"0,018151","1,4698E-06","1,2619E-11","3,8339E-11","1,4699E-06","-6,114E-12","2,7399E-06",0,0,0,0,0,0,package://robotF/meshes/R_BBD2.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://robotF/meshes/R_BBD2.STL,,Assem1-16/BBD_2-1;Assem1-16/6mm Bearing SKF 626 RS 286-7833-1,Coordinate System5,Axis4,R_BBD2_joint,continuous,"-0,030331","-0,103","-0,077","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
R_BBD3,"7,4679E-07","1,6288E-07","3,5107E-07",0,0,0,"0,018151","1,4698E-06","-1,6803E-11","-3,7934E-11","1,4699E-06","-8,2638E-12","2,7399E-06",0,0,0,0,0,0,package://robotF/meshes/R_BBD3.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://robotF/meshes/R_BBD3.STL,,Assem1-12/BBD_2-1;Assem1-12/6mm Bearing SKF 626 RS 286-7833-1,Coordinate System6,Axis5,R_BBD3_joint,continuous,"0,010169","-0,103","-0,025","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
R_BBD4,"6,5481E-07","3,9426E-07","3,5107E-07",0,0,0,"0,018151","1,4699E-06","-3,5742E-11","-3,3265E-11","1,4699E-06","-2,0018E-11","2,7399E-06",0,0,0,0,0,0,package://robotF/meshes/R_BBD4.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://robotF/meshes/R_BBD4.STL,,Assem1-10/BBD_2-1;Assem1-10/6mm Bearing SKF 626 RS 286-7833-1,Coordinate System7,Axis6,R_BBD4_joint,continuous,"0,094669","-0,103","-0,025","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
R_BBD5,"7,5148E-07","1,3964E-07","3,5107E-07",0,0,0,"0,018151","1,4698E-06","-1,4488E-11","-3,8172E-11","1,4699E-06","-7,0833E-12","2,7399E-06",0,0,0,0,0,0,package://robotF/meshes/R_BBD5.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://robotF/meshes/R_BBD5.STL,,Assem1-8/BBD_2-1;Assem1-8/6mm Bearing SKF 626 RS 286-7833-1,Coordinate System8,Axis7,R_BBD5_joint,continuous,"0,12967","-0,103","-0,062","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
L_BBD1,"-1,7175E-07","-7,4479E-07","-3,5107E-07",0,0,0,"0,018151","1,4699E-06","-1,7675E-11","-8,7146E-12","1,4698E-06","-3,7833E-11","2,7399E-06",0,0,0,0,0,0,package://robotF/meshes/L_BBD1.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://robotF/meshes/L_BBD1.STL,,Assem1-1/BBD_2-1;Assem1-1/6mm Bearing SKF 626 RS 286-7833-1,Coordinate System9,Axis3,L_BBD1_joint,continuous,"-0,074331","0,103","-0,025","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
L_BBD2,"-7,6209E-07","5,8592E-08","-3,5107E-07",0,0,0,"0,018151","1,4698E-06","6,1336E-12","-3,871E-11","1,4699E-06","2,9666E-12","2,7399E-06",0,0,0,0,0,0,package://robotF/meshes/L_BBD2.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://robotF/meshes/L_BBD2.STL,,Assem1-20/BBD_2-1;Assem1-20/6mm Bearing SKF 626 RS 286-7833-1,Coordinate System10,Axis4,L_BBD2_joint,continuous,"-0,030331","0,103","-0,077","1,5708",0,0,base_link,0,0,1,0,10,,,,,,,,,,
